Listing_num,Address,Community,House_type,Listing_price,Sigma_estimate,Estimated_on,Bedroom,Washroom,Parking,Tax,Property_type,Maintenance,Building_age,Size,Basement,Utility_incl,Days_on_market,Rental_dom,Listed_on,Updated_on,Rental_estimate,Rental_yield,Major_intersection,Amenities,Exposure,Municipality,Description
C4936737,Unit 111 - 80 Vanauley St,Kensington-Chinatown - Toronto,Condo Apt,"$ 1,189,000","$1,140,243",2020-10-20,2+1 Bedrooms,3 Bathrooms,1 Garage,$ -,"Condo Apt, 2-Storey",$1002/month,New,1000-1199 feet²,None,,29 days,20 day(s),2020-10-01,2020-10-20,"$4,350",3.09%,Queen / Spadina,,E,Toronto,Rare Gem In The City Centre! This Gorerous Two-Storey Townhouse Is Located At Toronto's Most Vibrant Queen West Neighbourhood With Over 1300 Sqft Living Space. Spacious Living Space On The Main Floor Has Powder Room Expose To Lots Of Nature Lights; Functional 2nd Floor Hastwo Bedrooms And Two Washrooms Also A Big Walk-In Closet.Pravate Patio With Gas Bbq Hocked Up. Rare Find Ev Charging Parking Spot Included. Truly A Santuary In The City!
C4953602,Unit 812 - 80 St Patrick St,Kensington-Chinatown - Toronto,Condo Apt,"$ 449,800","$467,220",2020-10-14,1 Bedrooms,1 Bathrooms,0 Garage,"$ 1,583","Condo Apt, Apartment",$500/month,-,500-599 feet²,None,"water,hydro,heat",17 days,19 day(s),2020-10-13,2020-10-14,"$1,858",2.9%,Queen West/University,,Sw,Toronto,"Slick Upgraded 1 Bdrm Suite In The Heart Of The City! Walk To Everything You Could Possibly Need! Downtown Living At It's Finest! Outdoor Pool, Gym, Games Room, Etc. Perfect For A First Time Buyer, Pied-De-Terre Or Investment Property In A High Demand Location! Balcony With Gorgeous Sunsets And City View (Bonus: Bbq Allowed)."
C4948687,Unit 304 - 169 John St,Kensington-Chinatown - Toronto,Condo Apt,"$ 495,000","$525,476",2020-10-12,1 Bedrooms,1 Bathrooms,0 Garage,"$ 1,907","Condo Apt, Loft",$392/month,-,500-599 feet²,None,water,21 days,19 day(s),2020-10-09,2020-10-11,"$1,917",2.89%,Queen St. W. / John St,Security System,W,Toronto,"Live At Onesixnine Lofts And Walk Everywhere You Need To Be And Want To Be! With Walk, Transit And Bike Scores Of 99, This Beautiful And Intimate 1 Bedroom, 1 Bathroom Condo Unit With Locker Features An Open Concept With Laminate Flooring, 9 Ft Exposed Concrete Ceilings, Newer Kitchen Appliances And Is Located On A Peaceful Stretch Of John St. Just North Of Queen West. Walk To Ocad, The Ago, Amazing Restaurants, Theatres And Steps To Ttc Transit/Subway Line."
C4948703,Unit 1023 - 297 College St,Kensington-Chinatown - Toronto,Condo Apt,"$ 699,999","$728,082",2020-10-19,2 Bedrooms,2 Bathrooms,0 Garage,"$ 3,280","Condo Apt, Apartment",$598/month,-,700-799 feet²,None,"water,heat",21 days,19 day(s),2020-10-09,2020-10-20,"$2,671",2.78%,Spadina Ave And College St,"Bike Storage, Concierge, Gym, Party/Meeting Room, Security Guard",N,Toronto,"Location, Location, Location! Welcome Home To A Bright, And Spacious 2 Bedroom, 2 Bathroom Suite At Sought After ""College Condos""! Live At The Centre Of It All! Enjoy Stunning Clear Views Of The City From Large Living Room Space Which Boasts 12 Foot Ceilings And Floor To Ceiling Windows.Large Master Ensuite. Upgraded Kitchen, Quartz Countertop,Tile Backsplash. Grocery Store & Bank Right Under Building,Steps To U Of T, Chinatown, Transit, Grocery & Restaurants"
C4876257,Unit 321 - 80 Vanauley St,Kensington-Chinatown - Toronto,Condo Apt,"$ 695,000","$654,301",2020-10-26,1+1 Bedrooms,1 Bathrooms,1 Garage,$ -,"Condo Apt, Apartment",$569/month,-,500-599 feet²,None,,73 days,22 day(s),2020-08-18,2020-10-26,"$2,316",2.92%,Queen / Spadina,"Bbqs Allowed, Concierge, Gym, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",W,Toronto,"Heart Of City, Stunning 1Br +1Den,Abt 600 Sf, 2 Bath, Den Can Be Used As 2nd Br, Brand New Tridel Sq2, With High Ceiling, High Quality Floors! Prime Location,Toronto's Remarkable Queen And Spadina. Large Balcony Face To Community Park. Close To Queen St West, Cafes, Shops. Steps To Transit Amenities:Concierge, Gym, Party/Meeting Room, Rooftop Deck/Garden, Sauna, Fireplace Lounge, Dining Room."
C4873563,Unit 145 - 71 Mccaul St,Kensington-Chinatown - Toronto,Condo Apt,"$ 599,000","$575,235",2020-09-18,1+1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,201","Condo Apt, Apartment",$499/month,-,500-599 feet²,None,"water,hydro,heat",75 days,22 day(s),2020-08-15,2020-09-18,"$2,158",2.8%,Queen And Mccaul,"Bbqs Allowed, Exercise Room, Outdoor Pool, Recreation Room, Security Guard, Security System",E,Toronto,"Spectacular Grangetown Loft In The Heart Of The Financial, Fashion And Entertainment District. This Spacious 1+1 Bedroom Live/Work Space Features Soaring 10' Ceilings, New Stainless Steel Appliances, Hardwood Flooring, Granite Counter Top, Upgraded Light Fixtures, Large Master Bedroom, Pot Lighting, And Breakfast Bar. Enjoy This Vibrant Private Courtyard Setting With 24Hr Security, Private Entrance With Terrace Steps To Ttc, Ago, Ocad, Hospitals, Shops Extras"
C4965775,Unit 1403 - 210 Simcoe St,Kensington-Chinatown - Toronto,Condo Apt,"$ 564,900","$558,679",2020-10-23,1 Bedrooms,1 Bathrooms,0 Garage,"$ 1,931","Condo Apt, Apartment",$282/month,0-5,0-499 feet²,None,"water,heat",7 days,19 day(s),2020-10-23,2020-10-23,"$1,842",2.8%,Queen/University,"Concierge, Party/Meeting Room, Security System, Visitor Parking",E,Toronto,"** Luxury 1 Bdrm Unit Centrally Located In The Heart Of Downtown Toronto ** Walking Distance To Two Subways (St. Patrick & Osgoode Station) & Close To Streetcars, City's 5 Major Hospitals, Short Walk To Bay St., Financial Ctr, Osgood Hall, U Of T ** Steps To The Art Gallery Of Ontario Museum, Theater, Shopping & All Amenities ** 9' Upgraded Smooth Ceiling ** Open Concept Interior Layout & Modern Design ** Laminate Floors Thru-Out ** Newly Fresh Painted **"
C4949978,Unit 545 - 1030 King St,Kensington-Chinatown - Toronto,Condo Apt,"$ 649,900","$655,230",2020-10-21,1+1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,201","Condo Apt, Apartment",$361/month,-,600-699 feet²,None,,19 days,19 day(s),2020-10-11,2020-10-21,"$2,079",2.75%,King / Shaw,,Se,Toronto,"Move-In Ready 1+1 Condo In Sought After King St West. 9' Ceiling, Spacious Family Room, Modern Eat-In Kitchen W/Quartz Tops, Engineered Hardwood Throughout. Bedroom & Living Room Has Custom Roller Blinds. Loblaws & Ttc At Your Door Step, Walk To Dining, Shopping, Cafes. 5 Star Amenities: Gym, Party Room, Rain Room, Rooftop Terrace W/Bbq, 1-Locker. Visitor Parking, Ev Charging Station. Includes All Appliances, Washer/Dryer, Elf's, Window Coverings"
C4894626,Unit 2910 - 426 University Ave,Kensington-Chinatown - Toronto,Condo Apt,"$ 768,000","$746,476",2020-09-06,2 Bedrooms,1 Bathrooms,0 Garage,"$ 2,817","Condo Apt, Apartment",$520/month,-,600-699 feet²,None,water,59 days,21 day(s),2020-09-01,2020-09-06,"$2,600",2.72%,University Ave / Dundas Street,,E,Toronto,"Excellent Location At University/ Dundas In The Core Of Downtown.High Level With Large Balcony For Wonderful City View.Right Next To St. Patrick Subway.9 Ft Ceiling, Granite Counter Top. Pre-Engineered Hardwood Flooring.Eat-In Island, 24Hr Concierge. Steps To Subway, Toronto General Hospital, U Of T, Sick Kids, Mount Sinai Hospitals, Queens Park, Minutes To Financial/Entertainment Districts.Buyer Take The Current Lease To The End Of May 2021."
C4853625,Unit 418 - 38 Cameron St,Kensington-Chinatown - Toronto,Condo Apt,"$ 699,000","$660,031",2020-10-15,1+1 Bedrooms,2 Bathrooms,0 Garage,"$ 2,333","Condo Apt, Apartment",$440/month,0-5,600-699 feet²,None,,90 days,19 day(s),2020-08-01,2020-10-15,"$2,278",2.77%,Queen/Spadina,"Bbqs Allowed, Concierge, Gym, Media Room, Party/Meeting Room, Rooftop Deck/Garden",N,Toronto,"Immaculate 1 Bdrm + Den Unit At 3 Years New Modern & Geometric Tridel Sq Building In The Heart Of The Fashion District. Boasting A Spacious And Open Layout W/9Ft Ceilings, Laminate Flooring Throughout, Private Balcony W/Cn Tower Views, Modern Kitchen W/ Granite Countertops & S/Steel Appliances. Luxurious Amenities: 24Hrs Concierge, Sky Lounge, Fitness Centre & More."
C4923070,Unit 304 - 15 Beverley St,Kensington-Chinatown - Toronto,Condo Apt,"$ 699,000","$735,265",2020-10-29,2 Bedrooms,2 Bathrooms,1 Garage,"$ 3,796","Condo Apt, Apartment",$1054/month,-,800-899 feet²,None,"water,heat",37 days,20 day(s),2020-09-22,2020-10-29,"$3,075",2.66%,Queen & Spadina,"Concierge, Exercise Room, Outdoor Pool, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",E,Toronto,Step Inside 12 Degrees Condos. Leed Certified. This 2 Bedroom 2 Bathroom Unit Is Inspired By The Local Creativity Of Its Neighborhood. Architecture By Renowned Core Architects. Large Kitchen With Island And European Inspired Cabinetry With Granite Counter Tops. High 9' Ceilings! Floor-To-Ceiling Windows. Custom Made Closets. Walkout To Private 200Sqft Balcony. Cn Tower Views! Second Bed Comes W Murphy Bed And B/I Desk! Parking + Locker Included!
C4927257,Unit 508 - 297 College St,Kensington-Chinatown - Toronto,Condo Apt,"$ 618,000","$624,552",2020-10-10,1+1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,166","Condo Apt, Apartment",$418/month,New,500-599 feet²,None,heat,36 days,20 day(s),2020-09-23,2020-10-05,"$2,050",2.57%,College St/Spadina Rd,"Bike Storage, Bus Ctr (Wifi Bldg), Concierge, Gym, Party/Meeting Room, Rooftop Deck/Garden",W,Toronto,"One Of The Most Desirable & Vibrant Locations In Toronto!! Public Transit & City Market At Doorstep, Walk To U Of T, Kensington Mkt, Chinatown, Restaurants, Shops! The College By Tribute, Bright & Spacious One Bedroom + Den, 579+32 Sf, Great City View! Den Can Be A 2nd Bdrm, Soaring 9'9"" High Ceiling, Modern Kitchen, Integrated S/S Appliances! Wonderful Amenities, Fitness Studio, Billiard, Theatre, Media Lounge, Exercise Rooms,24Hr Concierge & Outdoor Bbq!"
C4887292,Unit 1211 - 120 St Patrick St,Kensington-Chinatown - Toronto,Condo Apt,"$ 499,000","$485,053",2020-09-09,1 Bedrooms,1 Bathrooms,0 Garage,"$ 1,589","Condo Apt, Apartment",$546/month,-,500-599 feet²,None,"water,hydro,heat",63 days,22 day(s),2020-08-27,2020-09-09,"$1,866",2.66%,University And Dundas,"Gym, Outdoor Pool, Party/Meeting Room, Rooftop Deck/Garden, Sauna, Security Guard",E,Toronto,"Welcome To The Village By The Grange! Spacious One Bedroom, With Large Living Space And A Balcony.Open Concept Kitchen. Ideal Location- Steps To St.Patrick Station, 6 Hospitals, Restaurants,Bars,Coffee Shops, Ocad, Art Gallery Of Ontario, Grange Park & Eaton Centre! Walk Score Of 98, Transit Score Of 100!"
C4891369,Unit 614 - 96 St Patrick St W,Kensington-Chinatown - Toronto,Condo Apt,"$ 514,000","$541,302",2020-09-23,1 Bedrooms,1 Bathrooms,0 Garage,"$ 1,877","Condo Apt, Apartment",$374/month,-,0-499 feet²,None,"water,heat",61 days,21 day(s),2020-08-30,2020-09-14,"$1,825",2.63%,University & Dundas,"Bbqs Allowed, Exercise Room, Guest Suites, Party/Meeting Room, Security Guard, Visitor Parking",W,Toronto,"Location! Location!! Location!!! Rarely Offered Adjacent To The Village The Grange. Live In Central. Downtown Where All The Actions Are. Step To Ttc & St. Patrick Subway Station. Step To Ocad,Chinatown,Ryerson, University Of Toronto,Queens Park,General Hospital,City Hall,Eaton Center,Financial Core,Food Stalls,Markets,Art Gallery Of Ontario,Community Center,Prime Location. Bright And Functional Layout. Low Maintenance Fee, Amazing Amenities."
C4951995,Unit 715 - 38 Cameron St,Kensington-Chinatown - Toronto,Condo Apt,"$ 679,000","$677,459",2020-10-14,1+1 Bedrooms,2 Bathrooms,0 Garage,"$ 2,399","Condo Apt, Apartment",$433/month,0-5,600-699 feet²,None,heat,17 days,19 day(s),2020-10-13,2020-10-13,"$2,278",2.7%,Sq At Alexandra Park,"Concierge, Guest Suites, Gym, Party/Meeting Room, Visitor Parking",E,Toronto,"Tridel Built ""Sq At Alexandra Park"", Beautiful 1 Bedroom + Den, 2 Washrooms, Den Can Be Used Second Bedroom. Located At Queen & Spadina In The Heart Of Downtown, Minutes To U Of T, Steps To Restaurants, 24H Concierge, Theatre, Shops. Gym, Cafe. Boutique Hotel Environment. Face East Unit /W Beautiful Downtown View"
C4940060,Unit 102 - 195 St Patrick St,Kensington-Chinatown - Toronto,Condo Apt,"$ 950,000","$981,003",2020-10-10,2+1 Bedrooms,2 Bathrooms,1 Garage,"$ 2,555","Condo Apt, Apartment",$872/month,31-50,1200-1399 feet²,None,"water,hydro,heat",24 days,20 day(s),2020-10-05,2020-10-05,"$3,270",2.45%,University/Dundas,"Concierge, Exercise Room, Indoor Pool, Rooftop Deck/Garden, Squash/Racquet Court, Visitor Parking",Se,Toronto,"Close To 1400 Sqft, Beautifully Renovated, Garden View 2+1 Bedroom With Large Master And Ensuite Bathroom. Extremely Desirable Location, Close To University Of Toronto, Hospitals, Financial District, Grocery, Well-Kept Building With All Utilities Included In The Low Maintenance Fee, Excellent Facilities, 24Hour Security. Most Importantly, No Need To Crowd In The Elevator As You Are On The Ground !!!"
C4948403,Unit 1001 - 203 College St,Kensington-Chinatown - Toronto,Condo Apt,"$ 820,000","$811,176",2020-10-12,1+1 Bedrooms,1 Bathrooms,0 Garage,$ -,"Condo Apt, Apartment",$332/month,New,500-599 feet²,None,water,21 days,19 day(s),2020-10-09,2020-10-09,"$2,063",2.4%,College/Beverley,"Bbqs Allowed, Concierge, Exercise Room, Party/Meeting Room",S,Toronto,"Assignment Sale. Facing South, U Of T St.George Campus, Streetcar At Doorstep & Less Than 400 Meters To Subway Station*Close To Hart House Theatre,Mars Discovery District,Mattamy Athletic Center,Robarts Libary, Toronto Public Library, U Of T Bookstore, Varsity Center,Mount Sinai, Princess Margaret, Sick Kids,St. Michaels,Toronto Genaral & Western Hospitals,Eaton Center & Central China Town.Starbucks At The Ground Floor"
C4947779,Unit 917 - 99 Cameron St,Kensington-Chinatown - Toronto,Condo Apt,"$ 695,000","$698,956",2020-10-23,2 Bedrooms,2 Bathrooms,0 Garage,"$ 2,459","Condo Apt, Apartment",$672/month,-,1000-1199 feet²,None,"water,heat",20 days,19 day(s),2020-10-09,2020-10-23,"$2,576",2.64%,Spadina / Dundas,"Concierge, Security Guard",W,Toronto,"Rarely Offered Close To 1200 Sq Ft. Spacious Two Bedrooms Unit In The Centre Of Chinatown. 4 Pcs Ensuite Master Bedroom W/Walk In Closet, Open Concept Modern Kitchen, Unobstructed View, Huge Balcony, Ensuite Laundry, Lots Upgraded Done Over The Years. 24 Hours Security, Step To Transit, Kensington Market, Hosiptal, Universiites, Ago & Fashion District. A Large Unit At A Fraction Of The Price. A Must See !"
C4952193,Unit 121 - 80 Vanauley St,Kensington-Chinatown - Toronto,Condo Apt,"$ 1,150,000","$1,137,490",2020-10-22,2 Bedrooms,3 Bathrooms,1 Garage,$ -,"Condo Apt, Apartment",$920/month,New,1000-1199 feet²,None,,16 days,19 day(s),2020-10-14,2020-10-23,"$3,555",2.59%,Queen/Spadina,"Bbqs Allowed, Concierge, Gym, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",W,Toronto,"Located In Toronto's Remarkable Queen And Spadina Neighbourhood, Tridel's Sq2 Is The Second Building In The 18-Acre Master Planned Community. This Airy Two-Storey 1,036Sqft Suite Boasts Plenty Of Natural Light. Beautiful West View Facing A Private Garden. A Separate Walkout Entrance Provides Access To The Exciting Queen Street Cafes, Shops And More. Take A Virtual Tour Online Today"
C4961044,Unit 721 - 297 College St,Kensington-Chinatown - Toronto,Condo Apt,"$ 999,900","$1,003,673",2020-10-20,2+1 Bedrooms,2 Bathrooms,1 Garage,"$ 3,762","Condo Apt, Apartment",$791/month,0-5,900-999 feet²,None,"water,heat",9 days,19 day(s),2020-10-20,2020-10-20,"$3,269",2.38%,College / Spadina,"Bbqs Allowed, Bike Storage, Concierge, Exercise Room, Games Room, Guest Suites",Nw,Toronto,"Stunning & Luminous 2 Br 2 Bath Plus A Den Suite In Tribute's Boutique Condo, The College! Soaring 9 Ft Ceilings, Open Concept Allows Great Customization Of Living Space. Fabulous Kitchen W/Stainless Steel Appliances,Floor To Ceiling Windows,Just Under 1000 Sq City Market Groceries At Your Door Step. Amenities Include 24 Hr Concierge, Gym, Guest Suites, Theatre Room, & More! Live In One Of The Most Sought-Out Neighbourhoods In Dt Toronto!Walking Distance"
C4915162,Unit 1206 - 280 Simcoe St,Kensington-Chinatown - Toronto,Condo Apt,"$ 889,000","$869,299",2020-10-22,2 Bedrooms,2 Bathrooms,1 Garage,"$ 3,466","Condo Apt, Apartment",$999/month,-,1200-1399 feet²,None,"water,hydro,heat",44 days,19 day(s),2020-09-15,2020-10-22,"$3,116",2.3%,University/Dundas,"Concierge, Gym, Indoor Pool, Squash/Racquet Court, Visitor Parking",E,Toronto,"Spacious Approx 1400 Sq Ft, 2 Br. 2 Bath Plus A Solarium Suitable For An Added Home Office Or Den, Desirable Split Bedroom Layout, Large Kitchen, Huge Principal Rooms, Wood Burning Fireplace And Loads Of Closets & Storage. Amenities: Roof Garden W/Bbq, Salt Water Pool, Gym, Huge Meeting Room. Located Steps To Subway (St Patrick), Major Hospitals, U Of T, Trendy Queen St And Financial District."
C4947453,Unit 1003 - 10 Willison Sq,Kensington-Chinatown - Toronto,Condo Apt,"$ 599,000","$622,444",2020-10-14,1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,447","Condo Apt, Apartment",$338/month,0-5,500-599 feet²,None,"water,heat",21 days,19 day(s),2020-10-09,2020-10-13,"$1,940",2.53%,Dundas St / Spadina Rd,"Bbqs Allowed, Concierge, Exercise Room, Rooftop Deck/Garden, Security Guard, Security System",S,Toronto,"3 Years New Urban Condo In The Kensington Area. Approx 556 Sq Ft 1 Bedroom With Huge Balcony Facing South & View Of Cn Tower. 9' Ceiling, Open Concept Layout & Large Window, Steps To Chinatown, U Of T, Kensington Market, Queen St., Entertainment & Financial District. . Perfect For First Time Buyer/Investor . Building Amenities Including: Theatre Lounge, Entertainment Room, Multi-Functional / Bbq Roof Top Terrace, Fitness Room, Etc"
C4938947,Unit 206 - 10 Willison Sq,Kensington-Chinatown - Toronto,Condo Apt,"$ 548,888","$554,291",2020-10-26,1+1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,352","Condo Apt, Apartment",$382/month,0-5,600-699 feet²,None,"water,heat",27 days,20 day(s),2020-10-02,2020-10-26,"$1,800",2.51%,Dundas & Spadina,"Bike Storage, Concierge, Exercise Room, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",S,Toronto,"Great First Time Buyer Opportunity! 625 Sq Ft Of Living Space Downtown, Open Concept 1 Bdrm + Den, South Facing Balcony, 9.5 Ft Ceiling Heights, Engineered Hardwood Floors, S&S Appliances & Tile Backsplash In Kitchen, Rainforest Shower Head In Bath, Front Loading Washer/Dryer Ensuite & Large Double Closets In Master & Front Entry, Quiet Boutique Building Steps To Ttc, Chinatown, Kensington Market, Uoft, Ocad, Ago And All The Pleasures Of Downtown Life"
C4909809,Unit 1705 - 426 University Ave,Kensington-Chinatown - Toronto,Condo Apt,"$ 653,800","$656,435",2020-09-12,1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,111","Condo Apt, Apartment",$386/month,-,500-599 feet²,None,"water,heat",48 days,22 day(s),2020-09-12,2020-09-12,"$1,967",2.35%,University/Dundas,,S,Toronto,"Welcome To Rcmi Condo, Functional 1 Bedroom Layout With 9' Ceiling And Laminate Through Out. Designer Kitchen With Built In Integrated Appliances, Granite Counter Top And Centre Island, Onsite Amenities Plus 24 Hr Security, Easy Transportation St.Patrick Subway, Dundas Streetcar. Walk Score 100! Close To All; Major Hospitals, Financial Centre,U Of T, Ocad, Ryerson, Eaton Centre, Car - Share Facilities & Abundant Bicycle Storage"
C4896339,Unit 724 - 38 Cameron St,Kensington-Chinatown - Toronto,Condo Apt,"$ 699,000","$734,198",2020-10-14,1+1 Bedrooms,2 Bathrooms,0 Garage,"$ 2,429","Condo Apt, Apartment",$467/month,0-5,600-699 feet²,None,heat,58 days,19 day(s),2020-09-02,2020-10-13,"$2,278",2.43%,Spadina/Queen West,"Bbqs Allowed, Concierge, Gym",W,Toronto,"Welcome To Sq Condo Built By Tridel. Very Functional Layout With Quiet And Bright West Facing. Nice Private Balcony. Tasteful & Modern Style W/ Dark Wide Plank Laminate Floors, Gunmetal Grey Kitchen Quartz Counters & Backsplash. Amazing Location By Queen St W & Spadina, Minutes From Kensington Market, Chinatown, Queen West Restaurants And Bars, Shops, Streetcar Stop & More. Rare High-Speed Internet Is Included In Condo Fee!"
C4899698,Unit Ph08 - 297 College St,Kensington-Chinatown - Toronto,Condo Apt,"$ 549,000","$508,834",2020-10-13,1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,207","Condo Apt, Apartment",$348/month,0-5,0-499 feet²,None,,55 days,19 day(s),2020-09-05,2020-10-07,"$1,550",2.21%,College And Spadina,"Concierge, Exercise Room, Games Room, Guest Suites, Party/Meeting Room, Rooftop Deck/Garden",W,Toronto,"Welcome To Penthouse 8, A Truly One-Of-A-Kind Fully Custom Unit Finished With No Expense Spared. The West Exposure Penthouse In The Building Is A Premium 1 Bed 1 Bath Unit And A Nice Balcony! This Is A Unit That You Must Experience In Person To Truly Appreciate, It's One You Don't Want To Miss!"
"C4953923, 40032145",Unit 329 - 38 Cameron St,Kensington-Chinatown - Toronto,Condo Apt,"$ 650,000","$654,412",2020-10-23,1+1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,311","Condo Apt, Apartment",$460/month,0-5,644 feet²,None,"water,heat",14 days,19 day(s),2020-10-15,2020-10-23,"$2,043",2.35%,Queen/Spadina,"Bike Storage, Concierge, Exercise Room, Games Room, Guest Suites, Gym",N,Toronto,"Gorgeous, Modern Unit In A Fabulous Building Sq By Tridel In The Heart Of The City In The Fashion District At Queen And Spadina. Bright Open Concept With 9' Ceilings, Laminate Floors Throughout, Private Balcony And An Almost Perfect Walk Score Of 98! Designer Kitchen With Quartz Countertops, Built In Microwave, Electric Stove Stop & Built-In Oven. Cabinet Front Fridge & Dishwasher. Master Bedroom With Large Windows, Mirrored Closet Doors & Closet Organizer."
C4890816,Unit 613 - 89 Mccaul St,Kensington-Chinatown - Toronto,Condo Apt,"$ 579,000","$600,829",2020-09-18,1 Bedrooms,1 Bathrooms,0 Garage,"$ 1,589","Condo Apt, Apartment",$550/month,-,600-699 feet²,None,"water,hydro,heat",62 days,22 day(s),2020-08-29,2020-09-18,"$1,893",2.19%,Dundas & Queen,,W,Toronto,"A Mixed- Use Development Bringing Together Residences, Retail And Restaurants, Access To Recreation Center, Next To Ontario College Of Art And Design (Ocad), Steps To Ttc, Art Gallery Of Ontario, Theatre District, Universities, Hospitals, Chinatown, Kensigton, Heart Of Downtown. Open Balcony, Renovated Kitchen"
C4951479,Unit 1701 - 297 College St,Kensington-Chinatown - Toronto,Condo Apt,"$ 699,000","$703,849",2020-10-20,1+1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,775","Condo Apt, Apartment",$490/month,0-5,600-699 feet²,None,heat,17 days,19 day(s),2020-10-13,2020-10-20,"$2,050",2.08%,College St/Spadina Rd,"Bike Storage, Bus Ctr (Wifi Bldg), Concierge, Gym, Party/Meeting Room, Rooftop Deck/Garden",W,Toronto,"The Best Floor Design In This Building. Bright & Spacious One Bedroom + Den With Window,Could Be The 2nd Br, Public Transit & City Market At Doorstep, Walk To U Of T, Kensington Mkt, Chinatown, Restaurants, Shops! The College By Tribute, Great City View! Modern Kitchen, Integrated S/S Appliances! Wonderful Amenities."
C4939176,Unit 729 - 38 Cameron St,Kensington-Chinatown - Toronto,Condo Apt,"$ 719,000","$698,608",2020-10-10,1+1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,668","Condo Apt, Apartment",$547/month,0-5,600-699 feet²,None,,28 days,20 day(s),2020-10-02,2020-10-03,"$2,230",2.3%,Spadina/Queen West,"Bbqs Allowed, Bus Ctr (Wifi Bldg), Gym, Media Room, Party/Meeting Room, Rooftop Deck/Garden",W,Toronto,"Sought After Tridel Built Iconic Sq1 Located Centrally, Conveniently Downtown At The Popular Chic Neighborhood. Fabulous Luxury Indoor And Outdoor Recreational Facilities Extended Beyond The Wall Of Your Private Suite.100 Transit/Walk Score. Minutes Walk To All Hot Spots For Lifestyle, Work, Universities And More. 24 Hour Concierge & Visitor Parkings."
C4893775,Unit Ph10 - 211 St. Patrick St,Kensington-Chinatown - Toronto,Condo Apt,"$ 1,295,000","$1,258,372",2020-10-19,2+1 Bedrooms,2 Bathrooms,2 Garage,"$ 4,295","Condo Apt, Apartment",$1365/month,-,1600-1799 feet²,None,"water,hydro,heat",59 days,19 day(s),2020-09-01,2020-10-19,"$3,988",1.97%,"University Avenue, Dundas Str",Indoor Pool,S,Toronto,"Luxury Penthouse In A Prestigious Building Steps To St. Patrick Subway Station. Recently Renovated. Spacious, South-Facing And Sun-Filled. Stylish Open Concept. 2 Bedrooms + Solarium + Den, Rare Wood-Burning Fireplace, Large Walk-In Closet, Plenty Of Storage, 2 Owned Parking Spots. 24-Hour Concierge, 3 Massive Furnished Rooftop Terraces With Bbq's. Pool, Hot Tub, Gym, Sauna, Squash Court, Billiards Room, Party Room."
C4970242,Unit 2108 - 210 Simcoe St,Kensington-Chinatown - Toronto,Condo Apt,"$ 815,000","$818,182",2020-10-28,2 Bedrooms,1 Bathrooms,1 Garage,"$ 3,220","Condo Apt, Apartment",$584/month,0-5,700-799 feet²,None,"water,heat",1 days,19 day(s),2020-10-28,2020-10-28,"$2,450",2.15%,University/Queen,"Concierge, Gym, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",Se,Toronto,"* Sophisticated Landmark Building At Downtown Core * Walking Distance To St Patrick & Osgoode Subway Station * Minutes To Major Hospitals, Financial District, Fashion District, U Of T, Ryerson, City Hall, Chinatown, Art Gallery & All Amenities * High Level East Exposure * Overlooking At University Ave & City Hall * Practical 2 Bedroom Layout * Open Concept * Bright & Spacious * One Parking & Two Lockers Included (Level 2 #54; Level C #32) *"
C4867152,Unit 503 - 38 Cameron St,Kensington-Chinatown - Toronto,Condo Apt,"$ 645,000","$635,187",2020-08-15,1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,334","Condo Apt, Apartment",$477/month,0-5,600-699 feet²,None,heat,79 days,21 day(s),2020-08-12,2020-08-15,"$2,050",2.38%,Queen St/ Spadina Ave,"Bbqs Allowed, Concierge, Exercise Room, Party/Meeting Room, Rooftop Deck/Garden, Sauna",Se,Toronto,"Brand New Unit Has Never Been Occupied Which Awaits You With All The Luxurious Finishes And The South & Easterly Views. Modern Open Concept Living, Dining & Kitchen With High-End Appliances. Great Location With Easy Access From The Gardiner By Car. Osgoode Subway, 510 & 501 Streetcars For Spadina & Queen Corridors. This 14-Storey Building Is Iconic In Its Design, Very Elegant Features, Comfortable Surroundings & Useful Amenities Throughout The Common Areas"
